Date;Name;ID
2022-23;Jaren Jackson Jr;1628991
2021-22;Marcus Smart;203935
2020-21;Rudy Gobert;203497
2019-20;Giannis Antetokounmpo;203507
2018-19;Rudy Gobert;203497
2017-18;Rudy Gobert;203497
2016-17;Draymond Green;203110
2015-16;Kawhi Leonard;202695
2014-15;Kawhi Leonard;202695
2013-14;Joakim Noah;201149
2012-13;Marc Gasol;201188
2011-12;Tyson Chandler;2199
2010-11;Dwight Howard;2730
2009-10;Dwight Howard;2730
2008-09;Dwight Howard;2730
2007-08;Kevin Garnett;708
2006-07;Marcus Camby;948
2005-06;Ben Wallace;1112
2004-05;Ben Wallace;1112